president,first-term,word_count
Harrison,1889,8465
Taft,1909,5442
Polk,1845,4815
Harrison,1841,4407
Coolidge,1925,4056
Reagan,1981,4041
McKinley,1897,3977
Buren,1837,3844
Hoover,1929,3766
Lincoln,1861,3631
Monroe,1817,3375
Harding,1921,3346
Pierce,1853,3342
Garfield,1881,2993
Adams-J,1825,2917
Buchanan,1857,2836
Hayes,1877,2494
Eisenhower,1953,2470
Obama,2009,2411
Bush,1989,2337
Adams-JQ,1797,2322
Truman,1949,2284
Nixon,1969,2131
Roosevelt,1905,1883
Jefferson,1801,1732
Wilson,1913,1712
Cleveland,1885,1691
Clinton,1993,1596
Bush,2001,1589
Johnson,1965,1496
Washington,1789,1431
Kennedy,1961,1368
Carter,1977,1229
Madison,1809,1181
Grant,1869,1132
Jackson,1829,1126
Taylor,1849,1091
Roosevelt,1933,991
Trump,2017,1467