president,first-term,president,word_count
Adams-JQ,1797,adams-john-q,2917
Adams-J,1825,adams-john.txt,2322
Buchanan,1857,buchanan,2836
Buren,1837,bush-1,2337
Bush,1989,bush-2,1589
Bush,2001,carter,1229
Carter,1977,cleveland,1691
Cleveland,1885,clinton,1596
Clinton,1993,coolidge,4056
Coolidge,1925,eisenhower,2470
Eisenhower,1953,garfield,2993
Garfield,1881,grant,1132
Grant,1869,harding,3346
Harding,1921,harrison-benjamin,4407
Harrison,1841,harrison-william,8465
Harrison,1889,hayes,2494
Hayes,1877,hoover,3766
Hoover,1929,jackson,1126
Jackson,1829,jefferson,1732
Jefferson,1801,johnson-lb,1496
Johnson,1965,kennedy,1368
Kennedy,1961,lincoln,3631
Lincoln,1861,madison,1181
Madison,1809,mckinley,3977
McKinley,1897,monroe,3375
Monroe,1817,nixon,2131
Nixon,1969,obama,2411
Obama,2009,pierce,3342
Pierce,1853,polk,4815
Polk,1845,reagan,4041
Reagan,1981,roosevelt-fd,1883
Roosevelt,1905,roosevelt-teddy,991
Roosevelt,1933,taft,5442
Taft,1909,taylor,1091
Taylor,1849,truman,2284
Truman,1949,van-buren,3844
Washington,1789,washington,1431
Wilson,1913,wilson,1712